Device:,Cedar Mini USB Joystick,,,,,,,,,,,,
Version:, V1.0,,,,,,,,,,,,
Last Updated:,2025-09-15,,,,,,,,,,,,
,"USB-C cable, 3 feet",Electrical,,Amazon,Amazon,1,1,1,8.99, $8.99 , $8.99 ,,https://a.co/d/97Y71JT 
,"USB-C cable, 6 feet, 2 pack",Electrical,,Wcakby,Amazon,1,2,1,10.99, $5.50 , $10.99 ,,https://a.co/d/6UE2og9
,"USB-C cable, 6 feet, 5 pack",Electrical,,CLEEFUN,Amazon,1,5,1,15.99, $3.20 , $15.99 ,,https://a.co/d/b3qG7jC
,Cable Tie,Mechanical,,Heyco Products Corporation,DigiKey,1,1,1,0.15, $0.15 , $0.15 ,,https://www.digikey.ca/en/products/detail/heyco-products-corporation/13123B/15791902
,"Wire, 22 AWG, Solid Core, Multiple Color Pack",Electrical,,Adafruit,Adafruit,,,,,,,,https://www.adafruit.com/product/1311
,,,,,,,,,,,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1311/6198255 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
